,Titles,Actors,Year_produced,Ratings
196,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",(2002),8.073293155697936
197,Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",(1924),8.068892161091282
198,Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",(2013),8.06747627650676
199,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",(2013),8.062880836384707
200,Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",(1967),8.060585888404532
201,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",(2015),8.059052188068282
202,Le salaire de la peur,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",(1953),8.058624866037539
203,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",(1976),8.058552287861271
204,Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",(1986),8.058453897796504
205,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",(1975),8.058447034579698
206,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",(2007),8.05734633731518
207,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",(2004),8.054906624374969
208,Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",(1979),8.054361295262018
209,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",(1986),8.053374718869403
210,Hachi: A Dog's Tale,"Lasse Hallström (dir.), Richard Gere, Joan Allen",(2009),8.05320208527725
211,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",(1959),8.052448152314392
212,Rush,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",(2013),8.050882417877107
213,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",(1928),8.050515730053172
214,Andrei Rublev,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",(1966),8.050169081114408
215,Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",(2017),8.049690308036396
216,Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",(2011),8.048313068771984
217,Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",(1989),8.048227320100512
218,Les quatre cents coups,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",(1959),8.04591076399239
219,Rang De Basanti,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",(2006),8.043936420790217
220,Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",(2004),8.043262303366877
221,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",(2000),8.04310828302871
222,Kaze no tani no Naushika,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",(1984),8.041579215071316
223,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",(2015),8.041461320747658
224,Ah-ga-ssi,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",(2016),8.039628234189255
225,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",(1976),8.034596667905715
226,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",(1940),8.034565097911027
227,"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman",(2001),8.03057661398409
228,Portrait de la jeune fille en feu,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel",(2019),8.030210133906774
229,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",(1995),8.029675773390311
230,It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert",(1934),8.023740898904213
231,Faa yeung nin wa,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",(2000),8.016809520875507
232,Gangs of Wasseypur,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",(2012),8.016434869173349
233,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",(2004),8.014936988628165
234,The Princess Bride,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",(1987),8.013438136760284
235,The Help,"Tate Taylor (dir.), Emma Stone, Viola Davis",(2011),8.012723219611765
236,"Paris, Texas","Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",(1984),8.01198689621385
237,Contratiempo,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",(2016),8.01139989450465
238,Ace in the Hole,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",(1951),8.011370128857344
239,Drishyam,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",(2015),8.010813666139237
